Area Type;Area;Year;value;Estimate;﻿FIPS
County;Alamance;1975-07-01;98300;Annual Estimate;37001
County;Alamance;1989-07-01;107424;Annual Estimate;37001
County;Alamance;2000-04-01;130750;Estimates Base;37001
County;Alamance;2000-07-01;131492;Annual Estimate;37001
County;Alamance;2002-07-01;135917;Annual Estimate;37001
County;Alamance;2010-04-01;151160;Estimates Base;37001
County;Alexander;1983-07-01;25863;Annual Estimate;37003
County;Alexander;1984-07-01;26097;Annual Estimate;37003
County;Alexander;1997-07-01;31668;Annual Estimate;37003
County;Alexander;2001-07-01;33954;Annual Estimate;37003
County;Alexander;2002-07-01;34172;Annual Estimate;37003
County;Alexander;2021-07-01;35772;Annual Estimate;37003
County;Alexander;2024-07-01;35958;Annual Estimate;37003
County;Alleghany;1999-07-01;10538;Annual Estimate;37005
County;Alleghany;2000-04-01;10672;Estimates Base;37005
County;Alleghany;2001-07-01;10725;Annual Estimate;37005
County;Alleghany;2021-07-01;11023;Annual Estimate;37005
County;Alleghany;2023-07-01;11467;Annual Estimate;37005
County;Anson;1981-07-01;25425;Annual Estimate;37007
County;Anson;1987-07-01;24340;Annual Estimate;37007
County;Anson;1992-07-01;23728;Annual Estimate;37007
County;Anson;1994-07-01;24567;Annual Estimate;37007
County;Anson;2000-07-01;25323;Annual Estimate;37007
County;Anson;2003-07-01;25690;Annual Estimate;37007
County;Anson;2020-07-01;21955;Annual Estimate;37007
County;Ashe;1970-04-01;19571;Estimates Base;37009
County;Ashe;2003-07-01;25127;Annual Estimate;37009
County;Ashe;2017-07-01;26401;Annual Estimate;37009
County;Avery;2000-04-01;17149;Estimates Base;37011
County;Avery;2008-07-01;17988;Annual Estimate;37011
County;Avery;2012-07-01;17758;Annual Estimate;37011
County;Avery;2019-07-01;17784;Annual Estimate;37011
County;Beaufort;1985-07-01;42211;Annual Estimate;37013
County;Beaufort;1987-07-01;41904;Annual Estimate;37013
County;Beaufort;1990-04-01;42283;Estimates Base;37013
County;Beaufort;1991-07-01;42577;Annual Estimate;37013
County;Beaufort;2011-07-01;47588;Annual Estimate;37013
County;Beaufort;2014-07-01;46415;Annual Estimate;37013
County;Beaufort;2018-07-01;45138;Annual Estimate;37013
County;Beaufort;2021-07-01;44062;Annual Estimate;37013
County;Beaufort;2024-07-01;44216;Annual Estimate;37013
County;Bertie;1975-07-01;20900;Annual Estimate;37015
County;Bertie;1981-07-01;21010;Annual Estimate;37015
County;Bertie;1984-07-01;21022;Annual Estimate;37015
County;Bertie;1985-07-01;21001;Annual Estimate;37015
County;Bertie;1987-07-01;20678;Annual Estimate;37015
County;Bertie;1989-07-01;20498;Annual Estimate;37015
County;Bertie;2007-07-01;20768;Annual Estimate;37015
County;Bertie;2012-07-01;20218;Annual Estimate;37015
County;Bertie;2016-07-01;18776;Annual Estimate;37015
County;Bladen;1970-04-01;26477;Estimates Base;37017
County;Bladen;1975-07-01;29200;Annual Estimate;37017
County;Bladen;1980-04-01;30491;Estimates Base;37017
County;Bladen;1985-07-01;29633;Annual Estimate;37017
County;Bladen;1987-07-01;29210;Annual Estimate;37017
County;Brunswick;2020-04-01;136689;Estimates Base;37019
County;Buncombe;1975-07-01;153400;Annual Estimate;37021
County;Buncombe;1986-07-01;168378;Annual Estimate;37021
