Geo_ID,Area Name,Area Type,Year,Variable,Value
37119,Mecklenburg County,County,2021,Traffic Accident Fatalities,128
37119,Mecklenburg County,County,2021,School Bus Accidents,115
37119,Mecklenburg County,County,2021,Motorcyclists Injured,203
37119,Mecklenburg County,County,2019,Unpaved Highway Mileage,11.57
37119,Mecklenburg County,County,2019,Alcohol Related Accidents,1023
37119,Mecklenburg County,County,2019,Motorcyclist Fatalities,13
37119,Mecklenburg County,County,2018,Bicyclists Injured,112
37119,Mecklenburg County,County,2020,Persons Injured in Traffic Accidents,9412
37119,Mecklenburg County,County,2022,Pedestrian Accidents,356
37119,Mecklenburg County,County,2022,Motorcyclists Injured,192
37119,Mecklenburg County,County,2024,Pedestrian Accidents,454
37119,Mecklenburg County,County,2024,Motorcyclist Fatalities,17
37119,Mecklenburg County,County,2023,Bicyclists Injured,113
37119,Mecklenburg County,County,2023,Bicyclist Fatalities,2
37119,Mecklenburg County,County,2023,School Bus Accidents,193
37119,Mecklenburg County,County,2015,Vehicles Inspected,760927
37119,Mecklenburg County,County,2016,School Bus Accidents,189
37119,Mecklenburg County,County,2016,School Bus Average Mileage,17767
37119,Mecklenburg County,County,2014,School Bus Accidents,204
37119,Mecklenburg County,County,2013,Accidents Caused by Exceeding Legal Speed,1343
37119,Mecklenburg County,County,2009,Vehicles Inspected,606435
37119,Mecklenburg County,County,2012,Alcohol Related Accidents,1109
37119,Mecklenburg County,County,2010,Bicyclist Fatalities,0
37119,Mecklenburg County,County,2009,Bicyclists Injured,49
37119,Mecklenburg County,County,2010,Alcohol Related Accidents,816
37119,Mecklenburg County,County,2004,Vehicles Inspected,652375
37119,Mecklenburg County,County,2005,Motorcyclist Fatalities,10
37119,Mecklenburg County,County,1992,Accidents Caused by Exceeding Legal Speed,1941
37119,Mecklenburg County,County,1999,Motorcyclists Injured,204
37119,Mecklenburg County,County,2000,Bicyclist Fatalities,1
37119,Mecklenburg County,County,1982,Alcohol Related Accidents,1255
37119,Mecklenburg County,County,1982,School Bus Accidents,158
37119,Mecklenburg County,County,1994,Bicyclist Fatalities,0
37119,Mecklenburg County,County,1994,Alcohol Related Accidents,752
37119,Mecklenburg County,County,1994,Vehicles Inspected,488157
37119,Mecklenburg County,County,1993,School Bus Average Mileage,53964
37119,Mecklenburg County,County,1980,Bicyclist Fatalities,1
37119,Mecklenburg County,County,1992,Alcohol Related Accidents,716
37119,Mecklenburg County,County,1991,Alcohol Related Accidents,798
37119,Mecklenburg County,County,1989,Accidents Caused by Exceeding Legal Speed,3560
37119,Mecklenburg County,County,1998,Motorcyclists Injured,185
37119,Mecklenburg County,County,1986,School Bus Accidents,73
37119,Mecklenburg County,County,1986,Vehicles Inspected,427965
37119,Mecklenburg County,County,1997,Alcohol Related Accidents,967
37119,Mecklenburg County,County,1995,Alcohol Related Accidents,775
37119,Mecklenburg County,County,1984,School Bus Average Mileage,38152
37119,Mecklenburg County,County,1984,Bicyclists Injured,143
37119,Mecklenburg County,County,1998,Vehicles Inspected,599616
37119,Mecklenburg County,County,2014,Traffic Accident Fatalities,67
37119,Mecklenburg County,County,2017,Traffic Accidents,38237
37119,Mecklenburg County,County,2011,Auto and Truck Registrations,588626
37119,Mecklenburg County,County,2006,Persons Injured in Traffic Accidents,12629
37119,Mecklenburg County,County,2004,Traffic Accidents,26521
37119,Mecklenburg County,County,2004,Persons Injured in Traffic Accidents,14628
37119,Mecklenburg County,County,2003,Persons Injured in Traffic Accidents,15755
37119,Mecklenburg County,County,2001,Secondary Highway Mileage,728.67
37119,Mecklenburg County,County,2002,Traffic Accident Fatalities,73
37119,Mecklenburg County,County,2000,Primary Highway Mileage,281.29
37119,Mecklenburg County,County,2000,Traffic Accident Fatalities,90
37119,Mecklenburg County,County,2000,Persons Injured in Traffic Accidents,17215
37119,Mecklenburg County,County,1995,Unpaved Highway Mileage,43.86
37119,Mecklenburg County,County,1995,Persons Injured in Traffic Accidents,17653
37119,Mecklenburg County,County,1980,Unpaved Highway Mileage,104.49
37119,Mecklenburg County,County,1992,Secondary Highway Mileage,861.49
37119,Mecklenburg County,County,1991,Persons Injured in Traffic Accidents,12680
37119,Mecklenburg County,County,1976,Persons Injured in Traffic Accidents,7420
37119,Mecklenburg County,County,1988,Primary Highway Mileage,261.58
37119,Mecklenburg County,County,1998,Paved Highway Mileage,1006.72
37119,Mecklenburg County,County,1998,Secondary Highway Mileage,761.83
37119,Mecklenburg County,County,1998,Traffic Accident Fatalities,69
37119,Mecklenburg County,County,1986,Traffic Accident Fatalities,85
37119,Mecklenburg County,County,1986,Persons Injured in Traffic Accidents,11906
37119,Mecklenburg County,County,1985,Primary Highway Mileage,260.13
37119,Mecklenburg County,County,1985,Auto and Truck Registrations,321826
37119,Mecklenburg County,County,1996,Secondary Highway Mileage,819.68
37119,Mecklenburg County,County,1984,Traffic Accidents,17694
37119,Mecklenburg County,County,2001,Unpaved Highway Mileage,22.11
37119,Mecklenburg County,County,2018,Motorcyclists Injured,230
37119,Mecklenburg County,County,2019,Persons Injured in Traffic Accidents,11992
37119,Mecklenburg County,County,2019,Bicyclists Injured,93
37119,Mecklenburg County,County,2021,Pedestrian Fatalities,29
37119,Mecklenburg County,County,2023,Motorcyclists Injured,237
37119,Mecklenburg County,County,2024,Persons Injured in Traffic Accidents,10189
37119,Mecklenburg County,County,2024,School Bus Accidents,182
37119,Mecklenburg County,County,2019,Accidents Caused by Exceeding Legal Speed,1487
37119,Mecklenburg County,County,2024,Accidents Caused by Exceeding Legal Speed,1.522
37119,Mecklenburg County,County,2019,Pedestrian Fatalities,34
37119,Mecklenburg County,County,2020,Alcohol Related Accidents,901
37119,Mecklenburg County,County,2017,Secondary Highway Mileage,659
37119,Mecklenburg County,County,2021,Alcohol Related Accidents,1035
37119,Mecklenburg County,County,2021,Bicyclists Injured,78
37119,Mecklenburg County,County,2022,Pedestrians Injured,320
37119,Mecklenburg County,County,2022,Motorcyclist Fatalities,17
37119,Mecklenburg County,County,2015,Bicyclists Injured,6
37119,Mecklenburg County,County,2014,School Bus Average Mileage,18480
37119,Mecklenburg County,County,2012,School Bus Average Mileage,19974
37119,Mecklenburg County,County,2010,School Bus Average Mileage,19133
37119,Mecklenburg County,County,2012,Motorcyclists Injured,335
37119,Mecklenburg County,County,2012,Bicyclist Fatalities,0
37119,Mecklenburg County,County,2006,Bicyclist Fatalities,1
37119,Mecklenburg County,County,2007,Bicyclists Injured,56
37119,Mecklenburg County,County,2010,Motorcyclist Fatalities,5
37119,Mecklenburg County,County,2008,Bicyclist Fatalities,2
37119,Mecklenburg County,County,2008,Bicyclists Injured,57
37119,Mecklenburg County,County,2005,School Bus Average Mileage,119376
37119,Mecklenburg County,County,2004,Bicyclist Fatalities,0
37119,Mecklenburg County,County,1997,Accidents Caused by Exceeding Legal Speed,2220
37119,Mecklenburg County,County,1990,Accidents Caused by Exceeding Legal Speed,3004
37119,Mecklenburg County,County,2003,Bicyclists Injured,40
37119,Mecklenburg County,County,2002,Bicyclist Fatalities,0
37119,Mecklenburg County,County,2000,School Bus Accidents,190
37119,Mecklenburg County,County,1999,School Bus Accidents,177
37119,Mecklenburg County,County,2001,School Bus Average Mileage,97012
37119,Mecklenburg County,County,1993,Bicyclist Fatalities,1
37119,Mecklenburg County,County,1980,Alcohol Related Accidents,899
37119,Mecklenburg County,County,1992,Motorcyclists Injured,121
37119,Mecklenburg County,County,1990,Motorcyclists Injured,175
37119,Mecklenburg County,County,1990,School Bus Accidents,112
37119,Mecklenburg County,County,1988,Motorcyclist Fatalities,2
37119,Mecklenburg County,County,1988,Motorcyclists Injured,140
37119,Mecklenburg County,County,1988,Bicyclist Fatalities,1
