Geo_ID;Area Name;Area Type;Year;Variable;Value
37119;Mecklenburg County;County;2021;Traffic Accident Fatalities;128.0
37119;Mecklenburg County;County;2021;School Bus Accidents;115.0
37119;Mecklenburg County;County;2021;Motorcyclists Injured;203.0
37119;Mecklenburg County;County;2019;Unpaved Highway Mileage;11.57
37119;Mecklenburg County;County;2019;Alcohol Related Accidents;1023.0
37119;Mecklenburg County;County;2019;Motorcyclist Fatalities;13.0
37119;Mecklenburg County;County;2018;Bicyclists Injured;112.0
37119;Mecklenburg County;County;2020;Persons Injured in Traffic Accidents;9412.0
37119;Mecklenburg County;County;2022;Pedestrian Accidents;356.0
37119;Mecklenburg County;County;2022;Motorcyclists Injured;192.0
37119;Mecklenburg County;County;2024;Pedestrian Accidents;454.0
37119;Mecklenburg County;County;2024;Motorcyclist Fatalities;17.0
37119;Mecklenburg County;County;2023;Bicyclists Injured;113.0
37119;Mecklenburg County;County;2023;Bicyclist Fatalities;2.0
37119;Mecklenburg County;County;2023;School Bus Accidents;193.0
37119;Mecklenburg County;County;2015;Vehicles Inspected;760927.0
37119;Mecklenburg County;County;2016;School Bus Accidents;189.0
37119;Mecklenburg County;County;2016;School Bus Average Mileage;17767.0
37119;Mecklenburg County;County;2014;School Bus Accidents;204.0
37119;Mecklenburg County;County;2013;Accidents Caused by Exceeding Legal Speed;1343.0
37119;Mecklenburg County;County;2009;Vehicles Inspected;606435.0
37119;Mecklenburg County;County;2012;Alcohol Related Accidents;1109.0
37119;Mecklenburg County;County;2010;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2009;Bicyclists Injured;49.0
37119;Mecklenburg County;County;2010;Alcohol Related Accidents;816.0
37119;Mecklenburg County;County;2004;Vehicles Inspected;652375.0
37119;Mecklenburg County;County;2005;Motorcyclist Fatalities;10.0
37119;Mecklenburg County;County;1992;Accidents Caused by Exceeding Legal Speed;1941.0
37119;Mecklenburg County;County;1999;Motorcyclists Injured;204.0
37119;Mecklenburg County;County;2000;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;1982;Alcohol Related Accidents;1255.0
37119;Mecklenburg County;County;1982;School Bus Accidents;158.0
37119;Mecklenburg County;County;1994;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;1994;Alcohol Related Accidents;752.0
37119;Mecklenburg County;County;1994;Vehicles Inspected;488157.0
37119;Mecklenburg County;County;1993;School Bus Average Mileage;53964.0
37119;Mecklenburg County;County;1980;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;1992;Alcohol Related Accidents;716.0
37119;Mecklenburg County;County;1991;Alcohol Related Accidents;798.0
37119;Mecklenburg County;County;1989;Accidents Caused by Exceeding Legal Speed;3560.0
37119;Mecklenburg County;County;1998;Motorcyclists Injured;185.0
37119;Mecklenburg County;County;1986;School Bus Accidents;73.0
37119;Mecklenburg County;County;1986;Vehicles Inspected;427965.0
37119;Mecklenburg County;County;1997;Alcohol Related Accidents;967.0
37119;Mecklenburg County;County;1995;Alcohol Related Accidents;775.0
37119;Mecklenburg County;County;1984;School Bus Average Mileage;38152.0
37119;Mecklenburg County;County;1984;Bicyclists Injured;143.0
37119;Mecklenburg County;County;1998;Vehicles Inspected;599616.0
37119;Mecklenburg County;County;2014;Traffic Accident Fatalities;67.0
37119;Mecklenburg County;County;2017;Traffic Accidents;38237.0
37119;Mecklenburg County;County;2011;Auto and Truck Registrations;588626.0
37119;Mecklenburg County;County;2006;Persons Injured in Traffic Accidents;12629.0
37119;Mecklenburg County;County;2004;Traffic Accidents;26521.0
37119;Mecklenburg County;County;2004;Persons Injured in Traffic Accidents;14628.0
37119;Mecklenburg County;County;2003;Persons Injured in Traffic Accidents;15755.0
37119;Mecklenburg County;County;2001;Secondary Highway Mileage;728.67
37119;Mecklenburg County;County;2002;Traffic Accident Fatalities;73.0
37119;Mecklenburg County;County;2000;Primary Highway Mileage;281.29
37119;Mecklenburg County;County;2000;Traffic Accident Fatalities;90.0
37119;Mecklenburg County;County;2000;Persons Injured in Traffic Accidents;17215.0
37119;Mecklenburg County;County;1995;Unpaved Highway Mileage;43.86
37119;Mecklenburg County;County;1995;Persons Injured in Traffic Accidents;17653.0
37119;Mecklenburg County;County;1980;Unpaved Highway Mileage;104.49
37119;Mecklenburg County;County;1992;Secondary Highway Mileage;861.49
37119;Mecklenburg County;County;1991;Persons Injured in Traffic Accidents;12680.0
37119;Mecklenburg County;County;1976;Persons Injured in Traffic Accidents;7420.0
37119;Mecklenburg County;County;1988;Primary Highway Mileage;261.58
37119;Mecklenburg County;County;1998;Paved Highway Mileage;1006.72
37119;Mecklenburg County;County;1998;Secondary Highway Mileage;761.83
37119;Mecklenburg County;County;1998;Traffic Accident Fatalities;69.0
37119;Mecklenburg County;County;1986;Traffic Accident Fatalities;85.0
37119;Mecklenburg County;County;1986;Persons Injured in Traffic Accidents;11906.0
37119;Mecklenburg County;County;1985;Primary Highway Mileage;260.13
37119;Mecklenburg County;County;1985;Auto and Truck Registrations;321826.0
37119;Mecklenburg County;County;1996;Secondary Highway Mileage;819.68
37119;Mecklenburg County;County;1984;Traffic Accidents;17694.0
37119;Mecklenburg County;County;2001;Unpaved Highway Mileage;22.11
37119;Mecklenburg County;County;2018;Motorcyclists Injured;230.0
37119;Mecklenburg County;County;2019;Persons Injured in Traffic Accidents;11992.0
37119;Mecklenburg County;County;2019;Bicyclists Injured;93.0
37119;Mecklenburg County;County;2021;Pedestrian Fatalities;29.0
37119;Mecklenburg County;County;2023;Motorcyclists Injured;237.0
37119;Mecklenburg County;County;2024;Persons Injured in Traffic Accidents;10189.0
